pid,male,Birth,Final,Alive,Films,FourStar_Films,Wins,Noms,FirstFilm_Year,FirstWin_Year,FirstNom_Year,usa,white,name2,time,firstwin,group,death
1,1,1913,1969,0,4,2,0,0,1954,,,1,1,0,56,,0,1
2,1,1921,2001,1,37,4,0,0,1972,,,1,1,0,80,,0,0
3,1,1962,2001,1,38,6,0,0,1980,,,1,1,0,39,,0,0
4,1,1929,2001,1,45,1,0,0,1959,,,1,1,1,72,,0,0
5,1,1934,1986,0,8,2,0,1,1969,,1984,1,0,0,52,,0,1
6,1,1890,1963,0,139,23,0,1,1916,,1931,1,1,0,73,,0,1
7,0,1909,1978,0,16,1,0,0,1935,,,1,1,0,69,,0,1
8,0,1906,1974,0,85,20,0,4,1929,,1942,1,1,0,68,,0,1
9,1,1899,1972,0,123,20,0,2,1932,,1936,0,1,0,73,,0,1
10,1,1894,1972,0,29,2,0,0,1933,,,1,1,0,78,,0,1
11,1,1927,1975,0,15,3,0,0,1964,,,1,1,0,48,,0,1
12,1,1940,2001,1,31,16,1,8,1969,1992,1972,1,1,0,61,52,1,0
13,1,1934,2001,1,62,12,0,2,1957,,1966,1,1,0,67,,0,0
14,1,1934,2001,1,58,17,0,1,1960,,1968,0,1,0,67,,0,0
15,1,1909,1961,0,24,4,0,0,1936,,,0,1,0,52,,0,1
16,1,1867,1952,0,38,7,0,1,1922,,1940,0,1,0,85,,0,1
17,1,1947,2001,1,17,7,0,1,1974,,1987,1,1,1,54,,0,0
18,1,1936,2001,1,42,15,0,5,1960,,1963,0,1,0,65,,0,0
19,1,1914,2000,0,61,19,1,4,1934,1957,1952,0,1,1,86,43,1,1
20,1,1878,1960,0,5,2,0,0,1937,,,1,1,0,82,,0,1
21,1,1907,1995,0,70,11,0,1,1939,,1944,0,1,0,88,,0,1
22,0,1939,2001,1,64,5,0,0,1960,,,0,1,0,62,,0,0
23,1,1916,1987,0,55,9,0,0,1946,,,0,1,0,71,,0,1
24,1,1904,1957,0,22,4,0,0,1943,,,0,1,0,53,,0,1
25,0,1953,2001,1,41,5,0,1,1978,,1983,1,0,0,48,,0,0
26,1,1892,1977,0,7,0,0,1,1923,,1932,1,1,0,85,,0,1
27,0,1938,2001,1,20,1,0,1,1968,,1970,1,1,1,63,,0,0
28,0,1892,1939,0,74,8,1,2,1914,1937,1936,1,1,0,47,45,1,1
29,0,1926,2001,1,22,2,0,0,1954,,,1,1,0,75,,0,0
30,0,1899,1991,0,44,13,0,1,1931,,1944,1,1,0,92,,0,1
31,0,1946,2001,1,19,2,0,0,1976,,,0,1,0,55,,0,0
32,0,1888,1974,0,86,15,0,0,1940,,,1,1,0,86,,0,1
33,0,1931,1989,0,21,7,0,0,1950,,,1,1,1,58,,0,1
34,0,1962,2001,1,19,3,0,0,1985,,,0,1,0,39,,0,0
35,0,1957,2001,1,41,7,0,0,1981,,,1,1,0,44,,0,0
36,0,1953,2001,1,27,5,0,1,1975,,1983,1,1,0,48,,0,0
37,0,1951,2001,1,33,6,0,1,1981,,1985,1,1,0,50,,0,0
38,0,1950,2001,1,30,6,0,0,1976,,,1,1,0,51,,0,0
39,1,1909,1978,0,52,8,0,0,1938,,,0,1,1,69,,0,1
40,1,1962,2001,1,14,3,0,0,1989,,,1,0,0,39,,0,0
41,0,1916,1974,0,35,3,0,0,1940,,,1,1,0,58,,0,1
42,0,1914,1974,0,14,1,0,1,1935,,1937,1,1,1,60,,0,1
43,1,1907,1988,0,31,5,0,0,1937,,,0,1,0,81,,0,1
44,1,1956,2001,1,27,3,0,1,1968,,1988,0,0,1,45,,0,0
45,0,1958,2001,1,28,9,0,1,1985,,1993,1,0,0,43,,0,0
46,0,1923,1978,0,23,1,0,0,1944,,,1,1,0,55,,0,1
47,0,1925,2001,1,66,18,0,3,1944,,1944,0,1,0,76,,0,0
48,0,1951,2001,1,41,13,1,3,1969,1985,1982,1,1,0,50,34,1,0
49,0,1928,2001,1,33,3,0,1,1944,,1945,1,1,0,73,,0,0
50,0,1890,1961,0,14,3,0,0,1951,,,0,1,0,71,,0,1
51,0,1914,2000,0,173,24,0,0,1970,,,1,1,0,86,,0,1
52,0,1901,1981,0,41,4,0,1,1929,,1931,1,1,1,80,,0,1
53,0,1941,2001,1,48,7,0,2,1961,,1971,0,1,0,60,,0,0
54,0,1918,2001,1,18,4,0,0,1937,,,0,1,0,83,,0,0
55,0,1891,1978,0,44,9,0,0,1933,,,1,1,0,87,,0,1
56,0,1912,2001,0,79,6,0,1,1927,,1987,1,1,1,89,,0,1
57,0,1909,1993,0,69,12,0,0,1931,,,0,1,0,84,,0,1
58,0,1899,1959,0,28,1,0,0,1933,,,1,1,0,60,,0,1
59,0,1907,1973,0,33,7,1,2,1941,1955,1955,0,1,0,66,48,1,1
